iter,stage,n_seeds,lb,mu,decision,changes,delta_t
1,screen,6,-2.7807886513354156,0.041666666666666664,REJECT,"ema_decay=0.0, warmup_epochs=5, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=warmup, optimizer=SGD",0.034141715214740555
1,screen,6,-2.5683196537289636,0.254999999999999,REJECT,"ema_decay=0.99, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ema, optimizer=SGD",0.034141715214740555
2,screen,6,-2.8739986766773966,0.2733333333333346,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.05, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.017070857607370277
2,screen,6,-3.0427694081479024,0.13833333333333306,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, optimizer=SGD",0.017070857607370277
3,screen,6,-3.7872299497974242,-1.0,REJECT,"weight_decay=0.0002, ema_decay=0.0, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=wd, optimizer=SGD",0.011380571738246852
3,screen,6,-3.4240279739016186,0.05833333333333357,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, optimizer=SGD",0.011380571738246852
4,screen,6,-3.4375674882610574,0.2233333333333339,REJECT,"ema_decay=0.0, warmup_epochs=3, label_smoothing=0.1, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.008535428803685139
4,screen,6,-3.303249746278779,0.258333333333334,REJECT,"ema_decay=0.99, warmup_epochs=3, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ema, optimizer=SGD",0.008535428803685139
5,screen,6,-3.881560179598373,0.09333333333333134,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, optimizer=SGD",0.006828343042948111
5,screen,6,-3.627251935939025,0.15833333333333263,REJECT,"ema_decay=0.0, warmup_epochs=3, label_smoothing=0.05, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.006828343042948111
6,screen,12,-0.6189805315993198,0.9841666666666674,REJECT,"weight_decay=0.001, ema_decay=0.99, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ema, optimizer=SGD",0.005690285869123426
6,confirm,30,0.30827776300291754,0.9810000000000004,ACCEPT,"weight_decay=0.001, ema_decay=0.99, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ema, optimizer=SGD",0.005690285869123426
7,screen,6,-3.937129668966061,-0.14166666666666572,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.05, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.004877387887820079
7,screen,6,-3.543388710538129,0.05666666666666605,REJECT,"warmup_epochs=5, _iter=2, _last_move_tag=warmup",0.004877387887820079
8,screen,6,-4.114959739562817,-0.11166666666666696,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.05, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.004267714401842569
8,screen,6,-4.337847965856399,-0.39333333333333204,REJECT,"warmup_epochs=5, _iter=2, _last_move_tag=warmup",0.004267714401842569
9,screen,12,-0.7282374955002481,0.9866666666666669,REJECT,"weight_decay=0.001, ema_decay=0.999, warmup_epochs=0, label_smoothing=0.0, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ema, optimizer=SGD",0.0037935239127489502
9,screen,6,-4.33653609413148,-1.0,REJECT,"weight_decay=0.0005, _iter=2, _last_move_tag=wd",0.0037935239127489502
10,screen,6,-4.142662837315797,0.2333333333333331,REJECT,"ema_decay=0.0, warmup_epochs=0, label_smoothing=0.05, mixup=0.0, cutmix=0.0, grad_clip=0.0, _iter=1, _last_move_tag=ls, optimizer=SGD",0.0034141715214740555
10,screen,6,-3.967675306388682,-0.16499999999999915,REJECT,_iter=2,0.0034141715214740555
